Команда,ШХ_дома,ПШХ_дома,ШГ_гости,ПШГ_гости,Матчи_дома,Матчи_гости
Айлендерс,2,2,2,2,41,41
Анахайм,3,3,2,3,41,41
Баффало,3,2,3,2,41,41
Бостон,3,2,2,3,41,41
Ванкувер,2,3,2,3,41,41
Вашингтон,3,2,2,3,41,41
Вегас,3,2,2,2,41,41
Виннипег,2,2,2,3,41,41
Даллас,3,2,3,2,41,41
Детройт,2,3,2,2,41,41
Калгари,2,2,2,3,41,41
Каролина,3,3,3,2,41,41
Коламбус,3,2,2,3,41,41
Колорадо,3,2,3,2,41,41
Лос-Анджелес,2,2,2,2,41,41
Миннесота,2,2,3,2,41,41
Монреаль,3,3,3,2,41,41
Нью-Джерси,2,2,2,3,41,41
Нэшвилл,2,3,2,3,41,41
Оттава,3,2,3,3,41,41
Питтсбург,3,3,3,2,41,41
Рейнджерс,2,2,3,3,41,41
Сан-Хосе,2,3,2,3,41,41
Сент-Луис,2,2,2,3,41,41
Сиэтл,2,2,2,3,41,41
Тампа-Бэй,3,2,3,2,41,41
Торонто,3,3,2,3,41,41
Филадельфия,2,2,3,3,41,41
Флорида,3,2,2,3,41,41
Чикаго,2,3,2,3,41,41
Эдмонтон,3,3,3,3,41,41
Юта,3,2,3,2,41,41
