Команда,ШХ_дома_avg,ПШХ_дома_avg,ШГ_гости_avg,ПШГ_гости_avg
Айлендерс,2.8,2.93,2.54,2.83
Анахайм,3.32,3.39,2.93,3.49
Баффало,3.54,2.78,3.29,2.88
Бостон,3.39,2.54,2.95,3.32
Ванкувер,2.39,3.78,2.63,3.73
Вашингтон,3.32,2.54,2.95,3.2
Вегас,3.51,2.88,2.73,2.8
Виннипег,2.98,2.95,2.49,3.1
Даллас,3.12,2.63,3.41,2.61
Детройт,2.93,3.24,2.68,2.8
Калгари,2.83,2.51,2.2,3.61
Каролина,3.71,3.02,3.17,2.66
Коламбус,3.22,2.88,2.71,3.02
Колорадо,3.8,2.49,3.39,2.2
Лос-Анджелес,2.51,2.9,2.66,2.63
Миннесота,2.95,2.61,3.32,2.95
Монреаль,3.17,3.05,3.39,2.95
Нью-Джерси,2.73,2.95,2.56,3.17
Нэшвилл,2.98,3.15,2.8,3.17
Оттава,3.34,2.49,3.29,3.24
Питтсбург,3.56,3.29,3.41,2.85
Рейнджерс,2.46,2.85,3.12,3.02
Сан-Хосе,2.93,3.32,2.9,3.61
Сент-Луис,2.76,2.9,2.78,3.1
Сиэтл,2.88,2.93,2.44,3.22
Тампа-Бэй,3.17,2.8,3.66,2.71
Торонто,3.22,3.34,2.73,3.61
Филадельфия,2.54,2.56,3.17,3.07
Флорида,3.1,2.93,2.83,3.71
Чикаго,2.54,3.1,2.49,3.27
Эдмонтон,3.39,3.32,3.29,3.0
Юта,3.22,2.95,3.07,2.76
